client_id,trigger_mcc,target_mcc,will_seek_loan
1,1021,3001,1
2,5211,3001,0
3,1021,3001,0
4,5211,1021,0
5,3001,5680,0
6,3001,5211,1
7,1021,5211,0
8,3001,1021,0
9,1021,5680,0
10,5680,5211,0
11,1021,5680,1
12,3001,5211,0
13,3001,1021,0
14,3001,5211,1
15,5680,5211,1
16,5211,5680,0
17,5680,1021,0
18,5211,1021,0
19,3001,1021,1
20,3001,5211,0
21,1021,5680,1
22,5211,1021,0
23,1021,5211,0
24,5211,1021,0
25,5211,1021,1
26,5680,5211,1
27,5211,3001,0
28,1021,3001,0
29,5680,1021,1
30,3001,1021,0
31,5211,3001,1
32,5211,3001,1
33,1021,5211,1
34,5211,5680,1
35,5211,3001,0
36,5211,5680,1
37,3001,5211,0
38,5211,1021,1
39,5211,1021,0
40,1021,5680,1
41,1021,5211,1
42,5211,3001,1
43,1021,5211,0
44,3001,5680,1
45,5211,1021,0
46,5680,5211,0
47,3001,5680,1
48,3001,1021,1
49,1021,3001,0
50,3001,5680,0
51,1021,5680,1
52,5680,5211,1
53,1021,5680,1
54,3001,5211,0
55,3001,5680,1
56,5680,3001,1
57,5211,5680,0
58,5211,1021,1
59,3001,1021,1
60,3001,5211,0
61,5211,5680,0
62,3001,1021,0
63,1021,3001,1
64,5211,5680,1
65,1021,3001,1
66,5680,5211,1
67,1021,3001,0
68,1021,5680,1
69,5680,3001,1
70,3001,5680,1
71,3001,5680,1
72,3001,1021,1
73,3001,1021,1
74,1021,5211,1
75,5211,1021,1
76,5211,1021,0
77,3001,5680,0
78,5680,3001,0
79,5680,1021,0
80,3001,5211,1
81,3001,5680,0
82,1021,3001,1
83,5211,1021,0
84,1021,3001,1
85,5211,5680,1
86,5680,1021,0
87,5680,5211,0
88,5211,3001,1
89,3001,5211,0
90,5680,3001,1
91,5680,1021,0
92,5211,1021,0
93,1021,3001,0
94,3001,5211,0
95,3001,5211,1
96,3001,1021,0
97,3001,5211,0
98,1021,5211,0
99,3001,1021,0
100,3001,5211,1
101,3001,5211,1
102,3001,5680,0
103,5211,5680,0
104,1021,5211,1
105,1021,5680,1
106,5211,1021,0
107,5211,5680,1
108,5680,3001,0
109,3001,5680,0
110,5680,1021,0
111,1021,3001,1
112,3001,5211,0
113,5211,3001,1
114,1021,5211,1
115,5680,5211,1
116,1021,5680,1
117,5680,1021,0
118,1021,5680,1
119,1021,3001,1
120,5680,5211,0
