client_id,balance_mean,balance_min,balance_max,balance_last,balance_trend,balance_drop_pct,balance_mean_recent,balance_change_3m,monthly_spend_mean,monthly_spend_recent,burn_rate_ratio,burn_acceleration,tx_count_mean_monthly,tx_count_recent,balance_std,spend_std,cv_balance,monthly_spend_std,failed_tx_rate,failed_tx_rate_recent,spend_repair_total,spend_repair_recent,spend_repair_share,spike_repair,spend_electronics_total,spend_electronics_recent,spend_electronics_share,spike_electronics,spend_clothing_total,spend_clothing_recent,spend_clothing_share,spike_clothing,spend_travel_total,spend_travel_recent,spend_travel_share,spike_travel,max_single_trigger_tx,dominant_trigger_mcc,zero_day_count,zero_day_rate,zero_day_count_recent,consecutive_zero_max,balance_check_freq,balance_check_spike,high_amount_tx_share,failed_spike,urgency_score,has_prior_credit,prior_credit_approved,prior_credit_closed,payments_on_time_rate,payments_late_rate,payments_missed_rate,avg_days_late,max_days_late,credit_score,credit_utilization,dti_ratio,payment_history_pts,dti_pts,payments_on_time,payments_late,payments_missed,total_sessions,total_balance_checks,avg_session_duration_sec,balance_check_ratio,sessions_per_month,sessions_last_3m,balance_checks_last_3m,check_ratio_last_3m,age,monthly_salary,employment_type_enc,is_employed,dependants,account_age_years,marital_encoded,target_share_p4,will_seek_loan
1,8415117.71657754,3299380,14449378,13888197,0.1912241711555516,0.03883772713261429,13420787.043478262,5005669.326900722,234628.57142857142,140966.66666666666,0.30471243042671614,0.6008077610001623,8.904761904761905,23,3083479.1192976297,28532.670153359326,0.3689085414429586,203462.53007091288,0.065,0.041666666666666664,264600,52000.0,0.05370189965903556,2.289686427104932,2573500,50300.0,0.52230475726579,0.22772269685987234,277100.0,54600.0,0.05623883747361585,2.2957184411496327,296900,0.0,0.06025734697191103,0.0,138000,1021,0,0.0,0,0,0.2190923317683881,0.44650621118012424,0.29411764705882354,0.641025641025641,0.38796714533619964,1.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,41.0,41.0,810.0,0.0,0.0,85.0,110.0,11.0,1.0,0.0,340,140,80.55882352941177,0.4117647058823529,16.19047619047619,33,9,0.2727272727272727,30,770000,0,1,1,6.770704996577686,0,0.9822849807445443,1
2,725871.7096774194,11859,1190264,887515,-0.004123850591643347,0.25435449614539296,924146.4444444445,198274.7347670251,210261.90476190476,156833.33333333334,1.0012471655328798,0.745895142113011,8.857142857142858,27,305917.12239260535,25918.7715260588,0.42717337315462983,160348.54372955958,0.046153846153846156,0.0,1783000,31000.0,0.40380477862076775,0.16316635504883467,332200,0.0,0.0752349677273242,0.0,255900.0,65400.0,0.05795493149133733,2.398433733288649,556500,226000.0,0.1260332918129317,3.811215726039378,121100,5211,2,0.010256410256410256,0,2,0.20187793427230047,0.5922649140546006,0.27419354838709675,0.0,0.42618584994121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,70.0,110.0,0.0,0.0,0.0,324,129,78.42592592592592,0.39814814814814814,15.428571428571429,38,11,0.2894736842105263,59,210000,0,1,2,5.9575633127994525,0,0.0713022981732469,0
3,5024355.009852217,2075742,8921179,8465732,0.11092312592955926,0.051052332881113584,8203510.185185186,3179155.175332969,237557.14285714287,118466.66666666667,0.4167669172932331,0.4986870326938882,9.666666666666666,27,1828585.9926976254,30134.493354080958,0.36202723261895237,191197.40994958216,0.06018518518518518,0.06896551724137931,359800,0.0,0.07212299797542446,0.0,2216300,0.0,0.44426403672299397,0.0,347900.0,42000.0,0.06973760699180147,1.694590729520624,487800,0.0,0.09778098502615912,0.0,158200,1021,0,0.0,0,0,0.2222222222222222,0.14673913043478262,0.3054187192118227,1.1458885941644563,0.29569336521502637,1.0,1.0,1.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,1.0,1.0,795.0,0.0,0.0,70.0,110.0,10.0,1.0,1.0,358,142,78.20111731843575,0.39664804469273746,17.047619047619047,32,3,0.09375,60,570000,1,0,2,7.260780287474333,0,0.0,0
4,1165047.276923077,511025,1740204,1693637,0.004199147635795026,0.02675950635672599,1549088.4166666667,384041.1397435898,228742.85714285713,128433.33333333333,0.8471957671957672,0.5614747272878674,9.285714285714286,24,274573.7248639834,26006.976576463796,0.2363560119698744,171948.05777160893,0.034653465346534656,0.04,2007900,44300.0,0.4179990007494379,0.27506128885891645,194800,35200.0,0.040552918644350074,2.252794297198215,397000.0,33700.0,0.08264634857190441,1.058296162302135,453600,13800.0,0.09442917811641269,0.3792921615397608,117900,5211,0,0.0,0,0,0.1784037558685446,0.30463386727688785,0.26666666666666666,1.1542857142857141,0.3105416415764463,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,70.0,110.0,0.0,0.0,0.0,316,114,81.41772151898734,0.36075949367088606,15.047619047619047,30,5,0.16666666666666666,24,270000,1,0,3,4.501026694045175,2,0.2544889502762431,0
5,1230692.568306011,278010,2253979,1587035,-0.017171115675197506,0.29589627942407626,1445968.0476190476,215275.47931303666,254361.90476190476,84366.66666666667,0.9420811287477954,0.33167964654785087,8.714285714285714,21,562564.5467857809,37792.358141432254,0.4581331034444025,283654.8157112628,0.03684210526315789,0.125,341300,43500.0,0.06389471319454845,2.6898755461576194,381600,0.0,0.0714392691328441,0.0,283400.0,62700.0,0.05305526434027258,4.66924769415354,2818200,0.0,0.5275947281713345,0.0,183000,3001,0,0.0,0,0,0.18622848200312989,0.35020094994519546,0.3114754098360656,3.3928571428571432,0.5496242397171646,1.0,1.0,0.0,0.5,0.5,0.0,-35.22222222222222,18.0,708.0,0.0,0.367,58.0,45.0,9.0,9.0,0.0,309,119,80.8220064724919,0.3851132686084142,14.714285714285714,30,6,0.2,39,270000,0,1,1,5.8288843258042435,0,0.16266300617707619,0
6,1779133.9040404041,697042,2482172,2181396,0.006169092258182502,0.1211745197351352,2272334.3225806453,493200.4185402412,251538.09523809524,203633.33333333334,0.8673727422003285,0.80955265698654,9.428571428571429,31,436571.4323452258,35428.485505754106,0.24582009118809384,256128.97234828878,0.024630541871921183,0.03125,428300,166200.0,0.08108210438634686,3.3553349652684763,270100,19100.0,0.05113302917289817,0.6114510858488416,191900.0,92100.0,0.036328871892925434,4.149899630398635,2761300,40900.0,0.5227457736213392,0.12807449514863303,163400,3001,0,0.0,0,0,0.24726134585289514,0.6154375343973584,0.25757575757575757,1.26875,0.4590995280293706,1.0,1.0,0.0,0.4444444444444444,0.5555555555555556,0.0,-28.0,26.0,682.0,0.0,0.378,32.0,45.0,8.0,10.0,0.0,361,158,74.8448753462604,0.4376731301939058,17.19047619047619,46,14,0.30434782608695654,42,290000,1,0,0,7.003422313483915,2,0.9832374807125824,1
7,7660850.06185567,2503299,14106754,13748461,0.20545310693172444,0.025398684913623643,13201816.695652174,5540966.633796504,215161.90476190476,121966.66666666667,0.27943104514533085,0.5668599504249292,9.238095238095237,23,3338464.8104719194,26830.681500347833,0.4354035565344438,165517.27848230975,0.02512562814070352,0.041666666666666664,263400,40100.0,0.0582949716713881,1.8799697773538917,1984600,19900.0,0.4392262747875354,0.12382329451948079,254000.0,22600.0,0.056214589235127475,1.098745193062947,218600,47000.0,0.048379957507082155,2.6550332596785378,138800,1021,0,0.0,0,0,0.20657276995305165,0.47356719367588934,0.2422680412371134,1.6583333333333332,0.37928954597264775,1.0,1.0,1.0,0.9166666666666666,0.08333333333333333,0.0,24.0,24.0,803.0,0.0,0.0,98.0,110.0,11.0,1.0,0.0,331,132,75.68882175226587,0.3987915407854985,15.761904761904763,33,9,0.2727272727272727,37,770000,0,1,2,4.799452429842574,2,0.2806090739589807,0
8,72275.3488372093,10000,300996,15171,-0.0020533857093724813,0.9495973368416856,49717.71428571428,-22557.634551495015,79219.04761904762,80500.0,1.1317006802721088,1.0161697523443136,6.142857142857143,21,53843.431928714905,37666.58324514384,0.9122745634200623,28075.730071498034,0.37681159420289856,0.4,102500,0.0,0.061613368598220725,0.0,95000,42700.0,0.05710507333493628,3.0962501906941267,57900.0,0.0,0.0348040394325559,0.0,161300,0.0,0.09695840346237077,0.0,68700,3001,35,0.16908212560386474,10,6,0.24100156494522693,0.4510163749294184,0.13953488372093023,1.0615384615384615,0.3371926131723775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,70.0,110.0,0.0,0.0,0.0,361,154,72.49307479224376,0.4265927977839335,17.19047619047619,45,10,0.2222222222222222,20,70000,2,0,0,3.0116358658453115,0,0.0,0
9,90253.7421875,11166,391513,23115,-0.0032926149287067458,0.9409598148720477,47831.294117647056,-42422.448069852944,101971.42857142857,87200.0,1.133015873015873,0.8551414962174279,6.095238095238095,17,85486.02826462974,25122.81063237852,1.19789626617247,38474.72082883959,0.36,0.32,231700,0.0,0.10820024283179229,0.0,481900,53500.0,0.22503969365835436,0.9087761365085832,256600.0,82700.0,0.11982814980853647,2.638207290824973,135500,0.0,0.06327636125898944,0.0,76700,1021,39,0.195,9,7,0.20031298904538342,0.4341032608695652,0.234375,0.888888888888889,0.4500402467187219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,70.0,110.0,0.0,0.0,0.0,328,128,78.0548780487805,0.3902439024390244,15.619047619047619,33,8,0.24242424242424243,22,90000,2,0,0,6.496919917864476,1,0.0,0
10,215537.18987341772,11955,579905,18467,-0.009211001088800956,0.9681551288573128,79837.19230769231,-135699.9975657254,141357.14285714287,134400.0,1.1779761904761905,0.9507832238504295,7.523809523809524,26,186226.72388666935,19391.791752924782,1.0351399972271964,54266.855182777734,0.19387755102040816,0.13333333333333333,213400,32700.0,0.0718881590028634,1.1281578440889009,255200,78500.0,0.08596934478692943,2.264673073872966,775100.0,19500.0,0.26110830385716693,0.18522235610151686,332000,62500.0,0.11184099713660098,1.3859847873637408,91900,5680,20,0.10204081632653061,3,6,0.215962441314554,0.15099243856332703,0.27848101265822783,0.6877192982456141,0.3763201865556776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,70.0,110.0,0.0,0.0,0.0,334,138,73.60179640718563,0.41317365269461076,15.904761904761905,33,3,0.09090909090909091,22,120000,2,0,0,5.516769336071184,1,0.0,0
